初恋这件小事,2010,泰国,剧情 喜剧 爱情,8.5,954330,黑小鸭速效美白记。
海边的曼彻斯特,2016,美国,剧情 家庭,8.6,502626,我们都有权利不与自己的过去和解。
人工智能,2001,美国 英国,剧情 科幻,8.7,427608,对爱的执着，可以超越一切。
虎口脱险,1966,法国 英国,喜剧 战争,8.9,245224,永远看不腻的喜剧。
萤火虫之墓,1988,日本,动画 剧情 战争,8.7,393931,幸福是生生不息，却难以触及的远。 
波西米亚狂想曲,2018,英国 美国,剧情 传记 同性 音乐,8.6,578209,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
罗生门,1950,日本,剧情 犯罪 悬疑,8.8,301295,人生的N种可能性。
终结者2：审判日,1991,美国 法国,动作 科幻,8.8,328773,少见的超越首部的续集，动作片中的经典。
疯狂的麦克斯4：狂暴之路,2015,澳大利亚 美国,动作 科幻 冒险,8.7,506894,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
新龙门客栈,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,425412,嬉笑怒骂，调风动月。
奇迹男孩,2017,美国 中国香港,剧情 儿童 家庭,8.6,535867,世界不完美，爱会有奇迹。
二十二,2015,中国大陆,纪录片,8.7,283903,有一些东西不应该被遗忘。
无耻混蛋,2009,德国 美国,剧情 犯罪,8.6,455833,昆汀同学越来越变态了，比北野武还杜琪峰。
千钧一发,1997,美国,剧情 科幻 惊悚,8.8,281080,一部能引人思考的科幻励志片。
崖上的波妞,2008,日本,动画 奇幻 冒险,8.6,469167,小成本大魅力。
房间,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,358979,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
血钻,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,365547,每个美丽事物背后都是滴血的现实。
黑客帝国2：重装上阵,2003,美国,动作 科幻,8.7,390848,一个精彩的世界观正在缓缓建立。
步履不停,2008,日本,剧情 家庭,8.8,267756,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
魂断蓝桥,1940,美国,剧情 爱情 战争,8.8,267056,中国式内在的美国电影。
战争之王,2005,法国 德国 美国,剧情 犯罪,8.7,353231,做一颗让别人需要你的棋子。
末路狂花,1991,美国 英国 法国,犯罪 剧情 惊悚,8.9,234640,没有了退路，只好飞向自由。
爱乐之城,2016,美国,剧情 爱情 歌舞,8.4,850264,谁说王家卫镜头很晃？
千年女优,2001,日本,动画 剧情 爱情,8.8,250979,爱情是一场没有尽头的虚幻追逐。
燃情岁月,1994,美国,剧情 爱情 战争 西部,8.8,276912,传奇，不是每个人都可以拥有。
哈利·波特与死亡圣器(上),2010,英国 美国,奇幻 冒险,8.5,539810,最忠于原著的一部。
阿飞正传,1990,中国香港,犯罪 剧情 爱情,8.5,487551,王家卫是一种风格，张国荣是一个代表。
芙蓉镇,1987,中国大陆,剧情 爱情,9.2,122408,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
再次出发之纽约遇见你,2013,美国,喜剧 爱情 音乐,8.6,413124,爱我就给我看你的播放列表。
弱点,2009,美国,剧情 家庭 传记 运动,8.7,290570,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
朗读者,2008,美国 德国,剧情 爱情,8.6,441922,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
海洋,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片,9.1,153654,大海啊，不全是水。
香水,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻,8.5,528104,一个单凭体香达到高潮的男人。
穿越时空的少女,2006,日本,剧情 爱情 科幻 动画,8.6,369083,爱上未来的你。 
我爱你,2011,韩国,剧情 爱情,9.0,159956,你要相信，这世上真的有爱存在，不管在什么年纪 
地球上的星星,2007,印度,剧情 儿童 家庭,8.9,197824,天使保护事件始末。
